name,code,division_type,codename,province_code
Ba Đình,1,quận,quan_ba_dinh,1
Hoàn Kiếm,2,quận,quan_hoan_kiem,1
Tây Hồ,3,quận,quan_tay_ho,1
Long Biên,4,quận,quan_long_bien,1
Cầu Giấy,5,quận,quan_cau_giay,1
Đống Đa,6,quận,quan_dong_da,1
Hai Bà Trưng,7,quận,quan_hai_ba_trung,1
Hoàng Mai,8,quận,quan_hoang_mai,1
Thanh Xuân,9,quận,quan_thanh_xuan,1
Sóc Sơn,16,huyện,huyen_soc_son,1
Đông Anh,17,huyện,huyen_dong_anh,1
Gia Lâm,18,huyện,huyen_gia_lam,1
Nam Từ Liêm,19,quận,quan_nam_tu_liem,1
Thanh Trì,20,huyện,huyen_thanh_tri,1
Bắc Từ Liêm,21,quận,quan_bac_tu_liem,1
Mê Linh,250,huyện,huyen_me_linh,1
Hà Đông,268,quận,quan_ha_dong,1
Sơn Tây,269,thị xã,thi_xa_son_tay,1
Ba Vì,271,huyện,huyen_ba_vi,1
Phúc Thọ,272,huyện,huyen_phuc_tho,1
Đan Phượng,273,huyện,huyen_dan_phuong,1
Hoài Đức,274,huyện,huyen_hoai_duc,1
Quốc Oai,275,huyện,huyen_quoc_oai,1
Thạch Thất,276,huyện,huyen_thach_that,1
Chương Mỹ,277,huyện,huyen_chuong_my,1
Thanh Oai,278,huyện,huyen_thanh_oai,1
Thường Tín,279,huyện,huyen_thuong_tin,1
Phú Xuyên,280,huyện,huyen_phu_xuyen,1
Ứng Hòa,281,huyện,huyen_ung_hoa,1
Mỹ Đức,282,huyện,huyen_my_duc,1
TP. Hà Giang,24,thành phố,thanh_pho_ha_giang,2
Đồng Văn,26,huyện,huyen_dong_van,2
Mèo Vạc,27,huyện,huyen_meo_vac,2
Yên Minh,28,huyện,huyen_yen_minh,2
Quản Bạ,29,huyện,huyen_quan_ba,2
Vị Xuyên,30,huyện,huyen_vi_xuyen,2
Bắc Mê,31,huyện,huyen_bac_me,2
Hoàng Su Phì,32,huyện,huyen_hoang_su_phi,2
Xín Mần,33,huyện,huyen_xin_man,2
Bắc Quang,34,huyện,huyen_bac_quang,2
Quang Bình,35,huyện,huyen_quang_binh,2
TP. Cao Bằng,40,thành phố,thanh_pho_cao_bang,3
