name,code,division_type,codename,district_code
Phúc Xá,1,phường,phuong_phuc_xa,1
Trúc Bạch,4,phường,phuong_truc_bach,1
Vĩnh Phúc,6,phường,phuong_vinh_phuc,1
Cống Vị,7,phường,phuong_cong_vi,1
Liễu Giai,8,phường,phuong_lieu_giai,1
Nguyễn Trung Trực,10,phường,phuong_nguyen_trung_truc,1
Quán Thánh,13,phường,phuong_quan_thanh,1
Ngọc Hà,16,phường,phuong_ngoc_ha,1
Điện Biên,19,phường,phuong_dien_bien,1
Đội Cấn,22,phường,phuong_doi_can,1
Ngọc Khánh,25,phường,phuong_ngoc_khanh,1
Kim Mã,28,phường,phuong_kim_ma,1
Giảng Võ,31,phường,phuong_giang_vo,1
Thành Công,34,phường,phuong_thanh_cong,1
Phúc Tân,37,phường,phuong_phuc_tan,2
Đồng Xuân,40,phường,phuong_dong_xuan,2
Hàng Mã,43,phường,phuong_hang_ma,2
Hàng Buồm,46,phường,phuong_hang_buom,2
Hàng Đào,49,phường,phuong_hang_dao,2
Hàng Bồ,52,phường,phuong_hang_bo,2
Cửa Đông,55,phường,phuong_cua_dong,2
Lý Thái Tổ,58,phường,phuong_ly_thai_to,2
Hàng Bạc,61,phường,phuong_hang_bac,2
Hàng Gai,64,phường,phuong_hang_gai,2
Chương Dương,67,phường,phuong_chuong_duong,2
Hàng Trống,70,phường,phuong_hang_trong,2
Cửa Nam,73,phường,phuong_cua_nam,2
Hàng Bông,76,phường,phuong_hang_bong,2
Tràng Tiền,79,phường,phuong_trang_tien,2
Trần Hưng Đạo,82,phường,phuong_tran_hung_dao,2
Phan Chu Trinh,85,phường,phuong_phan_chu_trinh,2
Hàng Bài,88,phường,phuong_hang_bai,2
Phú Thượng,91,phường,phuong_phu_thuong,3
Nhật Tân,94,phường,phuong_nhat_tan,3
Tứ Liên,97,phường,phuong_tu_lien,3
Quảng An,100,phường,phuong_quang_an,3
Xuân La,103,phường,phuong_xuan_la,3
Yên Phụ,106,phường,phuong_yen_phu,3
Phường Bưởi,109,phường,phuong_buoi,3
Thụy Khuê,112,phường,phuong_thuy_khue,3
Thượng Thanh,115,phường,phuong_thuong_thanh,4
Ngọc Thụy,118,phường,phuong_ngoc_thuy,4
Giang Biên,121,phường,phuong_giang_bien,4
Đức Giang,124,phường,phuong_duc_giang,4
Việt Hưng,127,phường,phuong_viet_hung,4
Gia Thụy,130,phường,phuong_gia_thuy,4
Ngọc Lâm,133,phường,phuong_ngoc_lam,4
Phúc Lợi,136,phường,phuong_phuc_loi,4
Bồ Đề,139,phường,phuong_bo_de,4
Sài Đồng,142,phường,phuong_sai_dong,4
Long Biên,145,phường,phuong_long_bien,4
Thạch Bàn,148,phường,phuong_thach_ban,4
Phúc Đồng,151,phường,phuong_phuc_dong,4
Cự Khối,154,phường,phuong_cu_khoi,4
Nghĩa Đô,157,phường,phuong_nghia_do,5
Nghĩa Tân,160,phường,phuong_nghia_tan,5
Mai Dịch,163,phường,phuong_mai_dich,5
Dịch Vọng,166,phường,phuong_dich_vong,5
Dịch Vọng Hậu,167,phường,phuong_dich_vong_hau,5
Quan Hoa,169,phường,phuong_quan_hoa,5
Yên Hoà,172,phường,phuong_yen_hoa,5
Trung Hoà,175,phường,phuong_trung_hoa,5
Cát Linh,178,phường,phuong_cat_linh,6
Văn Miếu,181,phường,phuong_van_mieu,6
Quốc Tử Giám,184,phường,phuong_quoc_tu_giam,6
Láng Thượng,187,phường,phuong_lang_thuong,6
Ô Chợ Dừa,190,phường,phuong_o_cho_dua,6
Văn Chương,193,phường,phuong_van_chuong,6
Hàng Bột,196,phường,phuong_hang_bot,6
Láng Hạ,199,phường,phuong_lang_ha,6
Khâm Thiên,202,phường,phuong_kham_thien,6
Thổ Quan,205,phường,phuong_tho_quan,6
Nam Đồng,208,phường,phuong_nam_dong,6
Trung Phụng,211,phường,phuong_trung_phung,6
Quang Trung,214,phường,phuong_quang_trung,6
Trung Liệt,217,phường,phuong_trung_liet,6
Phương Liên,220,phường,phuong_phuong_lien,6
Thịnh Quang,223,phường,phuong_thinh_quang,6
Trung Tự,226,phường,phuong_trung_tu,6
